stratum,event_id,market,symbol,event_time,event_type_l2,severity,title,event_text,quality_flags,old_failures
macro_identity_or_template,seed_cn_sh510180__51e15b2e2a,CN,SH510180,2024-01-11,通胀数据意外,high,中国CPI居民消费价格指数月度公告,PPI月度 | 统计局 预期:机构 前值:上月,模板/占位字段 | 只有标题/正文过短 | 标题与正文事件身份冲突 | 缺少可定向量化值,etf_prefix_failure;missing_symbol_failure
earnings_missing_core,seed_cn_601166__9addc06f1b,CN,601166,2024-01-05,财报超预期/不及预期,high,中国三季报业绩快报汇总,三季报 | 公告 预期:市场 前值:上期,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段,
earnings_missing_core,seed_cn_000001__4df558b65e,CN,000001,2024-01-06,财报超预期/不及预期,medium,中国创业板/科创板业绩预告密集披露,一季预告 | 正文:公告 预期:一致 前值:上期,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段,timeout_failure
earnings_missing_core,seed_cn_600048__b885027eba,CN,600048,2024-01-07,财报超预期/不及预期,high,中国三季报业绩快报汇总,三季报 | 公告 预期:市场 前值:上期,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段,
earnings_missing_core,seed_cn_600887__9e82e63814,CN,600887,2024-01-11,财报超预期/不及预期,high,中国半年报业绩综述,三季报 | 公告 预期:市场 前值:上期,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段,
earnings_missing_core,seed_us_fdx__b56123418f,US,FDX,2024-01-11,财报超预期/不及预期,high,US Broad Market Quarterly Earnings Highlights,SP500 results | SEC filings consensus: sell-side prev: last Q,模板/占位字段 | 缺少可定向量化值 | 财报缺核心字段,timeout_failure
other_low_quality_control,seed_cn_600585__73df967246,CN,600585,2024-01-03,并购/分拆/再融资,medium,中国上市公司重大资产重组预案公告,重组委 | 交易所 预期:会前一致 前值:过往批次,只有标题/正文过短 | 并购缺交易实体/动作,
other_low_quality_control,seed_us_bmy__faf14c2443,US,BMY,2024-01-03,公司指引上调/下调,high,US Earnings Guidance Roundup 2024-01-03,Market outlook | filings consensus: sell-side prev: prior,模板/占位字段 | 缺少可定向量化值,timeout_failure
other_low_quality_control,seed_cn_002371__ffae433f64,CN,002371,2024-01-05,公司指引上调/下调,high,中国上市公司年度业绩指引公告,半年展望 | 公告 预期:机构 前值:历史,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值,
other_low_quality_control,seed_cn_002594__4132f48cd5,CN,002594,2024-01-05,并购/分拆/再融资,high,中国上市公司定增/可转债/配股再融资公告,定增/转债/配股 | 公告 预期:机构 前值:历史,模板/占位字段 | 只有标题/正文过短 | 并购缺交易实体/动作,
other_low_quality_control,seed_cn_601899__1df2f6677e,CN,601899,2024-01-06,并购/分拆/再融资,medium,中国上市公司定增/可转债/配股再融资公告,重大重组 | 公告 预期:卖方一致 前值:历史案例,只有标题/正文过短 | 并购缺交易实体/动作,
