severity,event_id,market,symbol,event_time,event_type_l2,title,event_text,quality_flags
medium,seed_cn_000725__d348983769,CN,000725,2024-04-01,并购/分拆/再融资,中国上市公司定增/可转债/配股再融资公告,发股购买 | 公告 预期:一致 前值:上次,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_000725__df8e5a72e6,CN,000725,2024-11-02,并购/分拆/再融资,中国上市公司发行股份购买资产公告,发股购买 | 公告 预期:一致 前值:上次,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_000752_event_7bcfd9847b,CN,000752,2025-07-12,财报超预期/不及预期,ST西发:西藏发展股份有限公司2025年半年度业绩预告,ST西发:西藏发展股份有限公司2025年半年度业绩预告 | 000752 *ST西发 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_000791_event_c8dd3bd411,CN,000791,2026-04-11,财报超预期/不及预期,甘肃能源:2026年第一季度业绩预告,甘肃能源:2026年第一季度业绩预告 | 000791 甘肃能源 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_000851_event_ae5059ff2e,CN,300118,2025-04-19,财报超预期/不及预期,ST高鸿:关于2024年度业绩预告修正及致歉公告,ST高鸿:关于2024年度业绩预告修正及致歉公告 | 000851 *ST高鸿 · 致歉公告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_000858__37f61321b1,CN,000858,2024-04-01,并购/分拆/再融资,中国A股并购重组委审议公告,重组委 | 交易所 预期:会前一致 前值:过往批次,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_000858__475e21fb80,CN,000858,2024-01-24,并购/分拆/再融资,中国上市公司定增/可转债/配股再融资公告,重大重组 | 公告 预期:卖方一致 前值:历史案例,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_000858__6825439850,CN,000858,2024-11-04,并购/分拆/再融资,中国上市公司定增/可转债/配股再融资公告,重组委 | 交易所 预期:会前一致 前值:过往批次,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_000858__e0e664f532,CN,000858,2024-07-01,并购/分拆/再融资,中国上市公司定增/可转债/配股再融资公告,重组委 | 交易所 预期:会前一致 前值:过往批次,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_000886_event_56aa87bf5a,CN,000886,2025-10-28,并购/分拆/再融资,海南高速:上市公司(含控股股东、实际控制人)及全体董事、高级管理人员就本次重组交易作出的声明与承诺,海南高速:上市公司(含控股股东、实际控制人)及全体董事、高级管理人员就本次重组交易作出的声明与承诺 | 000886 海南高速 · 其他,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_000886_event_a916513124,CN,000886,2026-02-10,并购/分拆/再融资,海南高速:董事会关于本次重大资产重组摊薄即期回报情况及填补措施的说明,海南高速:董事会关于本次重大资产重组摊薄即期回报情况及填补措施的说明 | 000886 海南高速 · 专项说明/独立意见,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_000960_event_46d527c1a4,CN,000960,2026-04-14,财报超预期/不及预期,锡业股份:云南锡业股份有限公司2026年第一季度业绩预告,锡业股份:云南锡业股份有限公司2026年第一季度业绩预告 | 000960 锡业股份 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_000962_event_e6832f9aad,CN,000962,2025-04-10,财报超预期/不及预期,东方钽业:公司2025年第一季度业绩预告,东方钽业:公司2025年第一季度业绩预告 | 000962 东方钽业 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_000973_event_f97b43a7ae,CN,000973,2025-06-12,财报超预期/不及预期,4-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(确实无法提供的，应当说明原因及相关资产的财务状况和经营成果)(申报稿)(佛山佛塑科技集团股份有限公司),4-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(确实无法提供的，应当说明原因及相关资产的财务状况和经营成果)(申报稿)(佛山佛塑科技集团股份有限公司) | 000973 佛塑科技 · 深主板并购重组审计报告,缺少可定向量化值 | 财报缺核心字段
high,seed_cn_001239_event_70ec8ee093,CN,001239,2025-12-09,公司指引上调/下调,永达股份:湘潭永达机械制造股份有限公司董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条及《深圳证券交易所上市公司自律监管指引第8号—重大资产重组》第三十条规定情形的说明,永达股份:湘潭永达机械制造股份有限公司董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条及《深圳证券交易所上市公司自律监管指引第8号—重大资产重组》第三十条规定情形的说明 | 001239 永达股份 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
medium,seed_cn_001267_event_704d0ca287,CN,001267,2026-04-14,并购/分拆/再融资,汇绿生态:关于重大资产重组进展的提示性公告,汇绿生态:关于重大资产重组进展的提示性公告 | 001267 汇绿生态 · 重组进展公告,只有标题/正文过短 | 并购缺交易实体/动作
high,seed_cn_001285_event_b5ff8ef305,CN,001285,2026-03-03,公司指引上调/下调,瑞立科密:关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条以及《深圳证券交易所上市公司自律监管指引第8号——重大资产重组》第三十条规定的不得参与任何上市公司重大资产重组情形的说明,瑞立科密:关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条以及《深圳证券交易所上市公司自律监管指引第8号——重大资产重组》第三十条规定的不得参与任何上市公司重大资产重组情形的说明 | 001285 瑞立科密 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
high,seed_cn_001285_event_c5c58cf79a,CN,001285,2026-03-03,公司指引上调/下调,瑞立科密:关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,瑞立科密:关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明 | 001285 瑞立科密 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
medium,seed_cn_001288_event_05816fbd3d,CN,001288,2025-01-10,财报超预期/不及预期,运机集团:2024年度业绩预告,运机集团:2024年度业绩预告 | 001288 运机集团 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002032_event_474a5326af,CN,002032,2025-07-24,财报超预期/不及预期,苏泊尔:2025年半年度业绩快报,苏泊尔:2025年半年度业绩快报 | 002032 苏泊尔 · 业绩快报,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_002044_event_fbb20df4f3,CN,002044,2025-07-12,公司指引上调/下调,美年健康:粤开证券股份有限公司关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条和《深圳证券交易所上市公司自律监管指引第8号——重大资产重组》第三十条规定情形的核查意见,美年健康:粤开证券股份有限公司关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条和《深圳证券交易所上市公司自律监管指引第8号——重大资产重组》第三十条规定情形的核查意见 | 002044 美年健康 · 保荐/核查意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
high,seed_cn_002049_event_3574cabf44,CN,002049,2026-05-23,公司指引上调/下调,紫光国微:董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条和《深圳证券交易所上市公司自律监管指引第8号——重大资产重组》第三十条规定的不得参与任何上市公司重大资产重组情形的说明,紫光国微:董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条和《深圳证券交易所上市公司自律监管指引第8号——重大资产重组》第三十条规定的不得参与任何上市公司重大资产重组情形的说明 | 002049 紫光国微 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
medium,seed_cn_002056_event_05a02cb078,CN,002056,2025-10-13,财报超预期/不及预期,横店东磁:2025年前三季度业绩预告,横店东磁:2025年前三季度业绩预告 | 002056 横店东磁 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002101_event_55b6a9a6d3,CN,002101,2025-03-14,财报超预期/不及预期,广东鸿图:2024年度业绩快报,广东鸿图:2024年度业绩快报 | 002101 广东鸿图 · 业绩快报,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002110_event_f7fee0863c,CN,002110,2025-01-16,财报超预期/不及预期,三钢闽光:2024年度业绩预告,三钢闽光:2024年度业绩预告 | 002110 三钢闽光 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002141_event_13471d88a4,CN,002141,2025-01-28,财报超预期/不及预期,*ST贤丰:2024年度业绩预告,*ST贤丰:2024年度业绩预告 | 002141 贤丰控股 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002178_event_5edff05b81,CN,002178,2025-11-06,财报超预期/不及预期,延华智能:关于参加2025年上海辖区上市公司三季报集体业绩说明会的公告,延华智能:关于参加2025年上海辖区上市公司三季报集体业绩说明会的公告 | 002178 延华智能 · 其他,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002222_event_d52c493619,CN,002222,2026-03-06,财报超预期/不及预期,福晶科技:2025年度业绩快报,福晶科技:2025年度业绩快报 | 002222 福晶科技 · 业绩快报,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002233_event_e4287a53e2,CN,002233,2026-02-28,财报超预期/不及预期,塔牌集团:2025年度业绩快报,塔牌集团:2025年度业绩快报 | 002233 塔牌集团 · 业绩快报,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002277_event_48ada92c7d,CN,002277,2025-06-30,财报超预期/不及预期,4-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(确实无法提供的，应当说明原因及相关资产的财务状况和经营成果)(申报稿)(湖南友谊阿波罗商业股份有限公司),4-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(确实无法提供的，应当说明原因及相关资产的财务状况和经营成果)(申报稿)(湖南友谊阿波罗商业股份有限公司) | 002277 友阿股份 · 深主板并购重组审计报告,缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002371__5c048efff4,CN,002371,2024-04-01,公司指引上调/下调,中国上市公司年度经营目标公告,投关记录 | 原文 预期:无 前值:无,只有标题/正文过短 | 缺少可定向量化值
medium,seed_cn_002371__bf5f36e235,CN,002371,2024-07-01,公司指引上调/下调,中国上市公司年度经营目标公告,年度指引 | 公告 预期:卖方 前值:上次,只有标题/正文过短 | 缺少可定向量化值
high,seed_cn_002371__ffae433f64,CN,002371,2024-01-05,公司指引上调/下调,中国上市公司年度业绩指引公告,半年展望 | 公告 预期:机构 前值:历史,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值
medium,seed_cn_002415__12e65ec6b6,CN,002415,2024-11-15,财报超预期/不及预期,中国一季报业绩预告集中披露,一季预告 | 正文:公告 预期:一致 前值:上期,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002415__34fb91094f,CN,002415,2024-07-01,财报超预期/不及预期,中国三季报业绩快报汇总,创/科板预告 | 公告 预期:无一致 前值:前期,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_002415__ea18c5214f,CN,002415,2024-04-01,财报超预期/不及预期,中国三季报业绩快报汇总,半年报综述 | 公告 预期:机构 前值:上年同期,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_002415__fc2f636bdf,CN,002415,2024-01-15,财报超预期/不及预期,中国一季报业绩预告集中披露,半年报综述 | 公告 预期:机构 前值:上年同期,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_002445_event_0f165e7330,CN,002445,2026-03-09,公司指引上调/下调,中南文化:董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,中南文化:董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明 | 002445 中南文化 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
high,seed_cn_002456_event_8361f3fbc8,CN,002456,2025-04-16,公司指引上调/下调,欧菲光:董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,欧菲光:董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明 | 002456 欧菲光 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
medium,seed_cn_002460_event_a1914960fb,CN,002460,2026-04-17,财报超预期/不及预期,赣锋锂业:2026年第一季度业绩预告,赣锋锂业:2026年第一季度业绩预告 | 002460 赣锋锂业 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002475__23bb4545d6,CN,002475,2024-01-12,财报超预期/不及预期,中国一季报业绩预告集中披露,年报快报 | 公告 预期:卖方 前值:上年同期,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002475__7c4bfa1269,CN,002475,2024-04-01,财报超预期/不及预期,中国半年报业绩综述,年报快报 | 公告 预期:卖方 前值:上年同期,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002475__93e8e0d100,CN,002475,2024-07-01,财报超预期/不及预期,中国三季报业绩快报汇总,一季预告 | 正文:公告 预期:一致 前值:上期,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_002475__e991db83ad,CN,002475,2024-12-28,财报超预期/不及预期,中国创业板/科创板业绩预告密集披露,三季报 | 公告 预期:市场 前值:上期,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002475_event_cdf5f48324,CN,002475,2025-08-26,财报超预期/不及预期,立讯精密:2025年第三季度业绩预告,立讯精密:2025年第三季度业绩预告 | 002475 立讯精密 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002496_event_9459306fec,CN,002496,2026-04-08,财报超预期/不及预期,*ST辉丰:2025年度业绩预告修正公告,*ST辉丰:2025年度业绩预告修正公告 | 002496 辉丰股份 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002511_event_80ee35021a,CN,002511,2025-01-28,财报超预期/不及预期,中顺洁柔:2024年度业绩预告,中顺洁柔:2024年度业绩预告 | 002511 中顺洁柔 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002518_event_c6a4575ea2,CN,002518,2026-01-17,财报超预期/不及预期,科士达:2025年度业绩预告,科士达:2025年度业绩预告 | 002518 科士达 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002532_event_f42e4d52aa,CN,002532,2026-03-30,财报超预期/不及预期,天山铝业:2026年第一季度业绩预告,天山铝业:2026年第一季度业绩预告 | 002532 天山铝业 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_002594__4132f48cd5,CN,002594,2024-01-05,并购/分拆/再融资,中国上市公司定增/可转债/配股再融资公告,定增/转债/配股 | 公告 预期:机构 前值:历史,模板/占位字段 | 只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_002594__5c846ad870,CN,002594,2024-04-01,并购/分拆/再融资,中国上市公司分拆子公司上市公告,重大重组 | 公告 预期:卖方一致 前值:历史案例,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_002594__dd7f66e66c,CN,002594,2024-07-01,并购/分拆/再融资,中国上市公司发行股份购买资产公告,重组委 | 交易所 预期:会前一致 前值:过往批次,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_002594__fdb0f40d9d,CN,002594,2024-10-25,并购/分拆/再融资,中国A股并购重组委审议公告,重组委 | 交易所 预期:会前一致 前值:过往批次,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_002600_event_1349631d0c,CN,002600,2025-06-06,财报超预期/不及预期,4-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(确实无法提供的，应当说明原因及相关资产的财务状况和经营成果)(申报稿)(广东领益智造股份有限公司),4-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(确实无法提供的，应当说明原因及相关资产的财务状况和经营成果)(申报稿)(广东领益智造股份有限公司) | 002600 领益智造 · 深主板并购重组审计报告,缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_002701_event_99a86a8778,CN,002701,2025-04-16,并购/分拆/再融资,奥瑞金:关于重大资产重组的进展公告,奥瑞金:关于重大资产重组的进展公告 | 002701 奥瑞金 · 重组进展公告,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_002734_event_b9bfe020a0,CN,002734,2025-10-10,财报超预期/不及预期,利民股份:公司2025年前三季度业绩预告,利民股份:公司2025年前三季度业绩预告 | 002734 利民股份 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
